Iteration	Posterior	Likelihood	Prior	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	neo_beta	rate_log_sd	tree_length	two_beta
0	-1233.527	-1450.289	216.7621	0.70917	0.234669	0.0010965	0.0550649	0.2109446	1.35701	1.267567	3.719234
6	-1226.68	-1444.179	217.4989	0.7287	0.20862	0.00609927	0.0565813	0.2109446	1.353515	1.353015	2.322043
12	-1222.75	-1439.991	217.2404	0.74912	0.15276	0.00507922	0.0930408	0.2109446	1.439165	1.48644	2.322043
18	-1218.315	-1436.15	217.8352	0.660584	0.284221	0.0126845	0.0425102	0.227371	1.251746	1.48644	1.783399
24	-1223.825	-1441.796	217.9703	0.62887	0.302643	0.0140355	0.0544513	0.313332	1.299593	1.48644	1.544328
30	-1230.033	-1445.243	215.2102	0.721094	0.250124	0.0143864	0.0143957	0.2554769	1.093801	2.197428	4.789201
36	-1243.958	-1460.534	216.5756	0.704049	0.276463	0.00913408	0.0103537	0.2574597	1.100313	2.375782	1.917448
42	-1258.129	-1475.111	216.9824	0.541912	0.366011	0.0763166	0.0157598	0.3835411	1.769469	1.020828	2.989468
48	-1234.511	-1452.409	217.8985	0.391458	0.559921	0.0312121	0.0174089	0.3109415	1.729252	0.9119546	1.920382
54	-1232.152	-1449.913	217.7616	0.396346	0.473666	0.0845814	0.0454065	0.3830542	1.063474	2.552096	0.2611568
60	-1244.679	-1464.019	219.3392	0.631711	0.237733	0.0404936	0.0900629	0.2787437	1.400609	1.209608	0.407557
66	-1244.45	-1461.872	217.4215	0.604559	0.325254	0.036403	0.0337836	0.2787437	1.262488	2.060771	1.292681
72	-1247.169	-1464.871	217.7019	0.558597	0.349283	0.0701413	0.0219786	0.3199219	0.8355762	2.597647	0.1081983
78	-1244.732	-1461.925	217.1928	0.557057	0.348319	0.0699478	0.0246762	0.2331707	0.7413993	3.125641	0.2947024
84	-1231.571	-1449.807	218.2351	0.686628	0.246071	0.061342	0.00595945	0.2637853	0.9636351	2.279516	0.1406619
90	-1237.455	-1454.538	217.083	0.625454	0.281247	0.0423612	0.0509376	0.2871253	1.190648	1.918911	2.044998
96	-1244.129	-1462.044	217.9155	0.636161	0.285108	0.047011	0.0317195	0.2871253	1.214451	1.979583	0.9546141
102	-1245.738	-1462.491	216.7531	0.468648	0.457102	0.0726805	0.00156942	0.3034366	0.793995	3.071476	0.791734
108	-1240.185	-1457.449	217.2635	0.468115	0.497747	0.0312059	0.0029324	0.2612828	0.9229399	2.979161	0.2768447
114	-1236.666	-1454.364	217.6981	0.423849	0.45068	0.123469	0.00200214	0.4389763	0.9852888	2.592623	0.18984
120	-1237.206	-1454.764	217.5577	0.369478	0.565085	0.0636916	0.00174531	0.5111434	0.8265488	2.733788	0.18984
126	-1244.35	-1461.035	216.6856	0.537556	0.378045	0.0821479	0.00225106	0.4263017	0.8101892	3.313155	0.1869312
132	-1224.315	-1441.833	217.5177	0.409216	0.536513	0.0233008	0.0309696	0.4320406	1.547082	1.139286	2.248236
138	-1241.737	-1460.676	218.9395	0.379665	0.582783	0.0236598	0.0138922	0.2951604	1.51667	1.108945	0.7924773
144	-1235.11	-1452.077	216.9674	0.374009	0.579485	0.0462514	0.000255192	0.3611284	0.9086581	2.910002	0.7020233
150	-1228.484	-1447.012	218.5284	0.417126	0.537075	0.045274	0.000524647	0.5112036	1.148712	1.926399	0.2422271
156	-1246.579	-1464.545	217.9655	0.415815	0.535387	0.0451317	0.00366632	0.7751398	1.181369	2.093979	0.27244
162	-1244.666	-1462.705	218.0383	0.387728	0.543159	0.0530719	0.0160408	0.3311819	1.393933	1.349589	1.550056
168	-1243.399	-1460.656	217.2563	0.501814	0.407829	0.0686878	0.0216695	0.3266776	1.309681	1.570581	2.303227
174	-1239.725	-1456.639	216.9142	0.517847	0.360647	0.0385229	0.0829826	0.461318	1.255894	1.965623	1.92209
180	-1237.244	-1454.877	217.6332	0.355259	0.581986	0.0497735	0.012982	0.3162685	1.286687	1.765057	1.501168
186	-1244.876	-1462.36	217.4833	0.36391	0.596159	0.0266322	0.0132982	0.4658398	1.344076	1.765057	1.471051
192	-1235.557	-1453.276	217.7194	0.513702	0.397805	0.0590217	0.0294712	0.4764658	1.60164	1.395735	1.471051
198	-1241.21	-1459.017	217.8067	0.509076	0.410522	0.0584903	0.0219117	0.2427309	1.27241	1.684353	1.471051
204	-1234.822	-1450.462	215.6392	0.331461	0.610553	0.00210525	0.0558805	0.2923554	0.9024682	2.947765	2.184409
210	-1242.872	-1458.582	215.7098	0.229321	0.705799	0.00834701	0.0565328	0.2838961	0.7919818	3.285397	1.515673
216	-1244.123	-1460.507	216.3847	0.500211	0.424076	0.0214083	0.0543055	0.2653061	0.8220064	3.075694	1.133787
222	-1237.441	-1453.774	216.3328	0.589854	0.395835	0.0111161	0.00319514	0.3780929	1.244409	1.822469	3.25494
228	-1239.333	-1457.476	218.1425	0.392583	0.560454	0.0131808	0.0337822	0.3075364	1.389668	1.552437	1.158553
234	-1238.088	-1453.625	215.5374	0.506255	0.45557	0.0107141	0.0274601	0.2734919	1.227312	1.64424	5.626161
240	-1234.827	-1450.988	216.161	0.564486	0.309746	0.00814911	0.117619	0.2085138	1.062467	2.277802	2.775436
246	-1238.918	-1456.037	217.1184	0.634615	0.252934	0.00665443	0.105797	0.2220491	1.178263	1.627305	2.616386
252	-1233.38	-1449.665	216.2853	0.630872	0.324881	0.00449954	0.0397471	0.2254451	1.293373	1.559545	4.053452
258	-1229.027	-1446.76	217.7333	0.571375	0.381276	0.00208688	0.0452623	0.2254451	1.330792	1.427848	1.910102
264	-1233.318	-1450.719	217.401	0.650389	0.306852	0.00167506	0.0410842	0.2317604	1.249925	1.427848	2.490295
270	-1246.443	-1465.228	218.7854	0.254296	0.743104	0.000626435	0.00197425	0.1802503	1.082508	1.816973	0.4386763
276	-1228.497	-1445.141	216.6438	0.37389	0.607112	0.00160499	0.0173931	0.3815701	1.208863	2.260199	1.842449
282	-1246.715	-1465.037	218.3226	0.215186	0.656658	0.00546479	0.122691	0.3205587	1.174353	1.701771	0.9768626
288	-1239.416	-1456.697	217.2808	0.152291	0.754191	0.00316913	0.0903497	0.3425198	1.331678	1.817651	1.761219
294	-1235.205	-1451.326	216.1208	0.418417	0.489721	0.0363117	0.0555495	0.285617	1.044728	2.786929	1.717188
300	-1233.149	-1451.076	217.9274	0.424161	0.496444	0.0230822	0.0563121	0.3801569	0.9931848	2.192448	0.7901734
306	-1238.671	-1454.45	215.7795	0.349207	0.473099	0.063371	0.114324	0.2272856	0.9923509	2.405515	3.208307
312	-1226.54	-1444.037	217.4965	0.279029	0.655425	0.0402608	0.0252858	0.298632	1.03305	2.271843	1.105131
318	-1236.374	-1451.603	215.2287	0.48339	0.441532	0.0645247	0.0105528	0.450618	1.091708	2.271843	4.239388
324	-1227.902	-1445.47	217.5686	0.400009	0.58916	0.00627842	0.00455273	0.5320625	0.894424	2.422357	0.7483041
330	-1228.683	-1445.046	216.3629	0.408137	0.546259	0.042226	0.00337819	0.3327178	0.79988	2.643926	1.990582
336	-1224.208	-1439.923	215.7156	0.399373	0.561684	0.0347761	0.0041667	0.5296076	1.025812	2.881371	1.809147
342	-1256.568	-1473.482	216.9141	0.611127	0.371308	0.0147618	0.00280394	0.4338093	1.462647	1.352266	2.90719
348	-1239.466	-1456.865	217.3991	0.595547	0.384694	0.0165147	0.00324501	0.3852901	1.397739	1.472675	2.106235
354	-1235.025	-1450.05	215.025	0.584609	0.390492	0.0167636	0.00813593	0.3219399	1.499105	1.475341	6.830835
360	-1244.615	-1459.602	214.9876	0.570257	0.393129	0.00670584	0.0299082	0.445335	0.7573347	2.777749	3.779154
366	-1249.456	-1464.888	215.4317	0.57352	0.39596	0.00415785	0.0263625	0.7510324	1.111554	2.763765	2.015967
372	-1250.517	-1465.449	214.9327	0.518393	0.467933	0.00514048	0.00853401	0.4167995	1.475675	1.355771	7.418769
378	-1239.827	-1456.946	217.1183	0.555896	0.42944	0.00551237	0.00915141	0.285579	0.9976939	2.08523	1.923876
384	-1230.751	-1445.846	215.0949	0.552462	0.393793	0.0191876	0.0345579	0.5810011	0.9743491	2.658325	3.290142
390	-1234.9	-1452.456	217.5565	0.369943	0.543865	0.0609342	0.0252574	0.4060255	1.153836	2.598166	0.3218592
396	-1238.471	-1454.325	215.8538	0.500265	0.431371	0.0483305	0.0200331	0.3484526	0.9271334	2.717096	2.341243
402	-1237.601	-1454.711	217.1098	0.51001	0.469021	0.0117243	0.00924463	0.6103238	1.467284	1.323075	2.379247
408	-1244.288	-1462.487	218.1996	0.439393	0.538375	0.0142672	0.0079646	0.387291	1.239259	1.660301	1.047282
414	-1238.244	-1455.022	216.7778	0.370688	0.528737	0.0919183	0.0086574	0.3495979	1.022767	2.516208	1.445177
420	-1236.304	-1453.231	216.9272	0.431676	0.509775	0.0157113	0.0428377	0.2857674	1.066451	2.324619	1.613932
426	-1240.211	-1457.014	216.8036	0.413911	0.52571	0.0162025	0.0441768	0.3685977	1.184248	2.439497	1.356929
432	-1228.015	-1444.858	216.8427	0.461496	0.500995	0.0257113	0.0117977	0.4693416	1.081243	2.130232	1.908603
438	-1238.286	-1454.36	216.0741	0.549753	0.395451	0.0306283	0.0241683	0.2276345	1.091721	2.695695	1.908603
444	-1233.088	-1449.442	216.3547	0.395027	0.517746	0.0390057	0.0482213	0.457399	1.19202	2.338838	1.993912
450	-1244.158	-1461.871	217.7122	0.54085	0.360764	0.0474527	0.0509327	0.5327078	1.150738	1.609213	1.608637
456	-1232.39	-1450.334	217.9439	0.496106	0.330919	0.0840937	0.0888809	0.2989188	1.362575	1.422356	1.608637
462	-1237.988	-1456.322	218.3335	0.536846	0.280349	0.0770919	0.105713	0.3066445	1.601422	0.9873259	1.459995
468	-1226.624	-1444.353	217.7285	0.498358	0.397756	0.0418742	0.0620114	0.3829035	1.542267	1.050956	2.153033
474	-1231.575	-1448.628	217.0538	0.482163	0.394235	0.0590014	0.0646006	0.7118403	1.373705	1.509216	2.098846
480	-1244.311	-1462.687	218.3758	0.488212	0.479192	0.0187501	0.0138452	0.4679583	1.424253	1.105081	1.332533
486	-1248.269	-1465.197	216.9276	0.576501	0.39049	0.0232066	0.0098024	0.4390192	1.489228	1.327709	2.884152
492	-1247.295	-1462.61	215.3151	0.46533	0.474673	0.0453001	0.0146968	0.7052952	1.129814	2.349154	3.26877
498	-1253.539	-1468.235	214.6962	0.598999	0.305951	0.071767	0.0232836	0.840949	0.9879025	2.365471	4.417525
504	-1241.829	-1459.563	217.7335	0.469575	0.455911	0.0562606	0.0182528	0.5719413	0.8461692	1.857278	1.479503
510	-1232.231	-1449.805	217.5736	0.468976	0.464445	0.060832	0.00574728	0.4410818	1.172923	1.715012	1.679004
516	-1228.459	-1446.218	217.7588	0.33807	0.573045	0.0823127	0.00657194	0.450569	1.253143	1.474962	1.746857
522	-1226.827	-1444.058	217.2306	0.418725	0.547356	0.0143479	0.0195714	0.3219518	1.333637	1.807056	1.857486
528	-1233.174	-1449.964	216.7906	0.663353	0.262109	0.0422715	0.0322664	0.2799822	1.288183	1.167767	4.04205
534	-1231.857	-1447.019	215.1619	0.514385	0.420092	0.00843293	0.0570898	0.3819268	1.13163	2.248172	4.500742
540	-1231.032	-1447.798	216.7665	0.489975	0.464704	0.00932848	0.0359927	0.5624185	0.9090907	2.409703	1.560588
546	-1242.96	-1458.611	215.6509	0.451916	0.51837	0.0086039	0.0211093	0.7299187	0.9892472	2.53294	2.438189
552	-1244.424	-1461.173	216.7484	0.287474	0.614627	0.0283483	0.0695513	0.431307	1.161619	2.111665	2.011305
558	-1244.867	-1460.91	216.043	0.289118	0.667341	0.0307796	0.012761	0.387124	0.9829606	2.579829	2.267668
564	-1235.636	-1454.345	218.7092	0.661809	0.312785	0.0171621	0.00824475	0.202927	1.209321	1.225479	1.189053
570	-1233.267	-1450.647	217.3799	0.28448	0.628865	0.0595593	0.0270963	0.2863536	0.9130911	2.732681	0.6227847
576	-1225.507	-1442.084	216.5775	0.491893	0.458456	0.0246775	0.0249735	0.2962449	0.7648937	2.764168	1.54451
582	-1242.384	-1458.913	216.5292	0.696709	0.224704	0.0423301	0.0362576	0.2981028	1.149577	1.951698	2.847206
588	-1229.069	-1447.228	218.1585	0.380249	0.512132	0.0695325	0.0380859	0.3298576	1.213798	1.690642	1.113599
594	-1247.874	-1465.883	218.0084	0.382451	0.515098	0.0320234	0.070428	0.3215149	1.228834	1.949146	0.8788624
600	-1239.112	-1455.75	216.6386	0.52359	0.372425	0.0280895	0.0758956	0.3215149	1.201588	1.949146	2.581176
606	-1233.054	-1450.566	217.5122	0.383698	0.555499	0.0322314	0.0285714	0.2584893	1.138583	1.727217	1.921888
612	-1237.141	-1455.422	218.281	0.662845	0.26579	0.0649149	0.00645028	0.2558462	1.473539	1.058989	1.601817
618	-1234.999	-1451.302	216.3029	0.556271	0.345542	0.0927739	0.00541319	0.3620758	1.396048	1.738685	3.274015
624	-1230.215	-1446.963	216.7472	0.389924	0.498887	0.0700972	0.0410924	0.2822398	1.299613	2.072077	2.043419
630	-1233.116	-1450.418	217.3022	0.439843	0.444636	0.0871622	0.0283589	0.4093831	1.293605	1.820819	1.712419
636	-1245.7	-1463.502	217.802	0.412816	0.462676	0.0971362	0.0273718	0.3812852	1.364909	1.436663	1.692246
642	-1243.817	-1460.952	217.1349	0.404631	0.513104	0.0613233	0.0209421	0.2714853	1.053939	2.20125	1.614872
648	-1231.35	-1448.821	217.4707	0.429335	0.47167	0.0789357	0.0200588	0.2974796	1.130616	2.327674	0.9452791
654	-1232.169	-1449.128	216.959	0.447531	0.52887	0.0104245	0.013174	0.451115	1.165708	2.009556	1.908143
660	-1231.1	-1449.26	218.1607	0.514704	0.378035	0.0754079	0.0318527	0.4552589	1.21357	1.94665	0.6513325
666	-1234.818	-1453.652	218.8334	0.449782	0.501081	0.0343079	0.0148292	0.2899212	1.122449	1.799328	0.4054791
672	-1230.679	-1446.651	215.9719	0.535552	0.403668	0.050355	0.0104251	0.2899212	0.9656689	2.502591	2.6742
678	-1237.208	-1454.836	217.6289	0.287557	0.680495	0.0143732	0.0175744	0.3467845	1.270551	2.055386	1.040032
